#slamdunk v0.2.4	3	sample info:	pulse_0h_R1_34343	0	pulse	0
#annotation:	170614custom_mESCannotation_counting_Thomas.bed	5a451868b8f3be84e2040f5872bce883
Chromosome	Start	End	Name	Length	Strand	ConversionRate	ReadsCPM	Tcontent	CoverageOnTs	ConversionsOnTs	ReadCount	TcReadCount	multimapCount	ConversionRateLower	ConversionRateUpper
chr18	38262373	38262629	0610009O20Rik	256	+	0.002072002072	29.148120725	61	3861	8	378	8	2	-1.0	-1.0
chr2	175656519	175656769	0610010B08Rik	250	+	0.0	0.462668582937	72	50	0	6	0	6	-1.0	-1.0
chr2	175754078	175754328	0610010B08Rik	250	+	0.0	0.308445721958	72	34	0	4	0	4	-1.0	-1.0
chr6	72352897	72353160	0610030E20Rik	263	+	0.0	5.32068870378	77	776	0	69	0	0	-1.0	-1.0
chr4	107896865	107897117	0610037L13Rik	252	+	0.000340251786322	27.1432235323	59	2939	1	352	1	0	-1.0	-1.0
chr4	107897552	107897803	0610037L13Rik	251	+	0.0	3.85557152448	69	516	0	50	0	1	-1.0	-1.0
chr8	77518328	77518578	0610038B21Rik	250	+	0.0	0.308445721958	75	65	0	4	0	0	-1.0	-1.0
chr2	163645550	163645800	0610039K10Rik	250	+	0	0	73	0	0	0	0	0	-1.0	-1.0
chr5	63899369	63899619	0610040J01Rik	250	+	0.0	0.0771114304895	82	12	0	1	0	0	-1.0	-1.0
chr4	101398935	101399185	0610043K17Rik	250	+	0	0	53	0	0	0	0	0	-1.0	-1.0
chr7	116104427	116104681	1110004F10Rik	254	+	0.000488519785051	13.4945003357	84	2047	1	175	1	131	-1.0	-1.0
chr7	116104957	116105210	1110004F10Rik	253	+	0.000165645188007	32.3096893751	95	6037	1	419	1	171	-1.0	-1.0
chr2	156873310	156873562	1110008F13Rik	252	+	0.000588350656992	170.956041395	81	25495	15	2217	15	3	-1.0	-1.0
chr12	55382238	55382495	1110008L16Rik	257	+	0.0	16.1162889723	65	2171	0	209	0	0	-1.0	-1.0
chrX	70389160	70389418	1110012L19Rik	258	+	0.00032605151614	20.6658633712	69	3067	1	268	1	1	-1.0	-1.0
chr3	4814661	4814911	1110015O18Rik	250	+	0	0	93	0	0	0	0	0	-1.0	-1.0
chr6	13896171	13896421	1110019D14Rik	250	+	0.0	0.462668582937	98	99	0	6	0	0	-1.0	-1.0
chr8	106594570	106594820	1110028F18Rik	250	+	0.0	0.0771114304895	64	12	0	1	0	0	-1.0	-1.0
chr3	68871913	68872163	1110032F04Rik	250	+	0.0	0.694002874406	82	122	0	9	0	0	-1.0	-1.0
chr2	132750804	132751055	1110034G24Rik	251	+	0.0	5.1664658428	80	761	0	67	0	0	-1.0	-1.0
chr9	64053850	64054100	1110036E04Rik	250	+	0	0	53	0	0	0	0	0	-1.0	-1.0
chr4	11527323	11527573	1110037F02Rik	250	+	0.00271002710027	2.39045434518	105	369	1	31	1	0	-1.0	-1.0
