"","d","tau","tau_all","mu1","mu2","points","d.min","d.max"
"chr18-38262373-38262629",1e-04,10000,11.4024817805717,203.950645165321,64.1671916841039,"0-0.5-1",NA,0.336870987673052
"chr7-116104957-116105210",1e-04,10000,5.26270676676755,170.433652835765,78.0620880025248,"0-0.5-1",NA,0.365648281251033
"chr2-156873310-156873562",0.123416707636265,8.10263066607815,6.13129419483251,1099.77271064718,370.457334798136,"0-0.5-1",NA,0.491913410265443
"chrX-70389160-70389418",1e-04,10000,8.77752744199611,211.37402026119,61.4014644222435,"0-0.5-1",NA,0.391318843854163
"chr15-76950480-76950979",0.161525285305372,6.19098117121075,4.59509650577665,579.871699064228,196.286150206078,"0-0.5-1",NA,0.55158490065745
"chr10-83762511-83762762",1e-04,10000,9.54211837936891,112.441800609974,41.2615857593792,"0-0.5-1",NA,0.329950380582017
"chr10-80174864-80175119",1e-04,10000,5.3335135162985,120.248657256942,29.1147138346807,"0-0.5-1",NA,0.310713908325531
"chr17-14944679-14944990",1e-04,10000,2.57761163291959,83.6480897270019,21.2294976560865,"0-0.5-1",NA,0.329150751519141
"chr15-81981313-81981563",1e-04,10000,5.96607428179703,240.773697379379,116.633466969494,"0-0.5-1",NA,0.247068256856102
"chr17-56888588-56888905",1e-04,10000,8.4485484097572,328.296267213215,81.8858191258331,"0-0.5-1",NA,0.282891048832871
"chr14-54690492-54690742",0.48973736443733,2.04191077221343,2.9296084073009,138.362466035855,86.2612231882519,"0-0.5-1",0.104662778032867,0.870922927942597
"chr19-8890509-8890759",0.298803816274728,3.3466774704128,5.09280208296417,683.877838942051,127.303308348591,"0-0.5-1",NA,0.721174446675349
"chr16-8857950-8858200",0.0687394569994924,14.5476854728047,4.35518431487221,249.234243536847,90.5933635935673,"0-0.5-1",NA,0.440777068426875
"chr3-122925493-122925748",0.0922013066437985,10.845833279384,7.25849028965226,580.798111697829,297.4259331236,"0-0.5-1",NA,0.43581436201059
"chrX-153741045-153741296",0.0654141041837904,15.2872230305311,7.78529362359506,306.580659969482,93.4600206469418,"0-0.5-1",NA,0.485598783997493
"chr7-27581371-27581621",1e-04,10000,5.29517469704184,102.033738089647,32.4508850841193,"0-0.5-1",NA,0.370884840171863
"chr7-27581846-27582098",1e-04,10000,4.07017400082477,152.158326214363,62.5803047253438,"0-0.5-1",NA,0.291120231321874
