#slamdunk v0.2.4	3	sample info:	chase_0.5h_R1_34513	30	chase	30
#annotation:	170614custom_mESCannotation_counting_Thomas.bed	5a451868b8f3be84e2040f5872bce883
Chromosome	Start	End	Name	Length	Strand	ConversionRate	ReadsCPM	Tcontent	CoverageOnTs	ConversionsOnTs	ReadCount	TcReadCount	multimapCount	ConversionRateLower	ConversionRateUpper
chr18	38262373	38262629	0610009O20Rik	256	+	0.0237610319077	20.2219811812	61	2946	70	288	68	0	-1.0	-1.0
chr2	175656519	175656769	0610010B08Rik	250	+	0.0	1.75538031087	72	175	0	25	0	25	-1.0	-1.0
chr2	175754078	175754328	0610010B08Rik	250	+	0.0	0.0702152124347	72	7	0	1	0	1	-1.0	-1.0
chr6	72352897	72353160	0610030E20Rik	263	+	0.0245122561281	13.6217512123	77	1999	49	194	45	0	-1.0	-1.0
chr4	107896865	107897117	0610037L13Rik	252	+	0.0119650253106	16.14949886	59	2173	26	230	26	0	-1.0	-1.0
chr4	107897552	107897803	0610037L13Rik	251	+	0.0555555555556	0.983012974086	69	54	3	14	3	0	-1.0	-1.0
chr8	77518328	77518578	0610038B21Rik	250	+	0	0	75	0	0	0	0	0	-1.0	-1.0
chr2	163645550	163645800	0610039K10Rik	250	+	0	0	73	0	0	0	0	0	-1.0	-1.0
chr5	63899369	63899619	0610040J01Rik	250	+	0	0	82	0	0	0	0	0	-1.0	-1.0
chr4	101398935	101399185	0610043K17Rik	250	+	0	0	53	0	0	0	0	0	-1.0	-1.0
chr7	116104427	116104681	1110004F10Rik	254	+	0.0229153405474	9.75991452843	84	1571	36	139	36	71	-1.0	-1.0
chr7	116104957	116105210	1110004F10Rik	253	+	0.0314937879226	17.6942335335	95	3461	109	252	89	72	-1.0	-1.0
chr2	156873310	156873562	1110008F13Rik	252	+	0.019993980307	135.445144787	81	23257	465	1929	400	0	-1.0	-1.0
chr12	55382238	55382495	1110008L16Rik	257	+	0.015977443609	12.4280926009	65	2128	34	177	34	0	-1.0	-1.0
chrX	70389160	70389418	1110012L19Rik	258	+	0.0299959464937	14.6749793989	69	2467	74	209	77	0	-1.0	-1.0
chr3	4814661	4814911	1110015O18Rik	250	+	0	0	93	0	0	0	0	0	-1.0	-1.0
chr6	13896171	13896421	1110019D14Rik	250	+	0	0	98	0	0	0	0	0	-1.0	-1.0
chr8	106594570	106594820	1110028F18Rik	250	+	0	0	64	0	0	0	0	0	-1.0	-1.0
chr3	68871913	68872163	1110032F04Rik	250	+	0.0	0.140430424869	82	28	0	2	0	0	-1.0	-1.0
chr2	132750804	132751055	1110034G24Rik	251	+	0.0190476190476	4.91506487043	80	630	12	70	12	0	-1.0	-1.0
chr9	64053850	64054100	1110036E04Rik	250	+	0	0	53	0	0	0	0	0	-1.0	-1.0
chr4	11527323	11527573	1110037F02Rik	250	+	0.0	0.421291274608	105	10	0	6	0	0	-1.0	-1.0
chr4	11549630	11549884	1110037F02Rik	254	+	0.00973236009732	11.4450796269	74	1644	16	163	16	0	-1.0	-1.0
chr4	11550893	11551143	1110037F02Rik	250	+	0	0	73	0	0	0	0	0	-1.0	-1.0
chr15	76950480	76950979	1110038F14Rik	499	+	0.0260145681582	55.8210938856	148	8649	225	795	223	371	-1.0	-1.0
chr13	33959931	33960181	1110046J04Rik	250	+	0	0	67	0	0	0	0	0	-1.0	-1.0
chr16	21805875	21806125	1300002E11Rik	250	+	0.0	3.15968455956	79	574	0	45	0	0	-1.0	-1.0
chr16	21808789	21809039	1300002E11Rik	250	+	0.0234466588511	7.79388858025	60	853	20	111	20	13	-1.0	-1.0
chr10	83762041	83762294	1500009L16Rik	253	+	0.0431792128391	16.2899292849	71	2617	113	232	96	103	-1.0	-1.0
chr10	83762511	83762762	1500009L16Rik	251	+	0.0284174424302	10.181205803	86	2041	58	145	51	0	-1.0	-1.0
chr7	75318235	75318485	1500012K07Rik	250	+	0	0	69	0	0	0	0	0	-1.0	-1.0
chr7	75331169	75331419	1500012K07Rik	250	+	0	0	76	0	0	0	0	0	-1.0	-1.0
chr18	61728003	61728253	1500015A07Rik	250	+	0.00386847195358	3.229899772	79	517	2	46	2	0	-1.0	-1.0
chr19	20422535	20422785	1500015L24Rik	250	+	0	0	78	0	0	0	0	0	-1.0	-1.0
chr1	43742314	43742564	1500015O10Rik	250	+	0	0	67	0	0	0	0	0	-1.0	-1.0
chr10	89700616	89700866	1500026H17Rik	250	+	0	0	91	0	0	0	0	0	-1.0	-1.0
chr10	80174864	80175119	1600002K03Rik	255	+	0.0191761363636	9.33862325382	57	1408	27	133	22	0	-1.0	-1.0
chr17	14944679	14944990	1600012H06Rik	311	+	0.0107843137255	8.84711676677	99	1020	11	126	16	0	-1.0	-1.0
chr17	14945688	14945939	1600012H06Rik	251	+	0.0376569037657	5.82786263208	89	1195	45	83	45	0	-1.0	-1.0
chr7	38196342	38196595	1600014C10Rik	253	+	0.0366748166259	5.0554952953	83	818	30	72	23	0	-1.0	-1.0
chr7	38197315	38197565	1600014C10Rik	250	+	0.0	0.0702152124347	73	8	0	1	0	0	-1.0	-1.0
chr6	48933437	48933687	1600015I10Rik	250	+	0	0	53	0	0	0	0	0	-1.0	-1.0
chr6	86564199	86564449	1600020E01Rik	250	+	0.0189573459716	2.38731722278	79	211	4	34	4	0	-1.0	-1.0
chrX	56320414	56320664	1600025M17Rik	250	+	0	0	61	0	0	0	0	0	-1.0	-1.0
chr9	58208558	58208808	1600029O15Rik	250	+	0.0	1.614949886	56	154	0	23	0	22	-1.0	-1.0
chr5	30483837	30484087	1700001C02Rik	250	+	0	0	53	0	0	0	0	0	-1.0	-1.0
chr18	17137309	17137559	1700001G01Rik	250	+	0.0	0.0702152124347	57	1	0	1	0	1	-1.0	-1.0
chr13	68613981	68614231	1700001L19Rik	250	+	0	0	92	0	0	0	0	0	-1.0	-1.0
chr6	83162725	83162975	1700003E16Rik	250	+	0	0	43	0	0	0	0	0	-1.0	-1.0
chr2	154549798	154550048	1700003F12Rik	250	+	0	0	37	0	0	0	0	0	-1.0	-1.0
chr1	56019953	56020203	1700003I22Rik	250	+	0	0	75	0	0	0	0	0	-1.0	-1.0
chr16	12848403	12848653	1700003L19Rik	250	+	0	0	65	0	0	0	0	0	-1.0	-1.0
chr13	118588379	118588629	1700003P14Rik	250	+	0	0	67	0	0	0	0	0	-1.0	-1.0
chr11	101992014	101992264	1700006E09Rik	250	+	0	0	63	0	0	0	0	0	-1.0	-1.0
chr14	119751314	119751564	1700006F04Rik	250	+	0	0	73	0	0	0	0	0	-1.0	-1.0
chr13	107691918	107692168	1700006H21Rik	250	+	0	0	59	0	0	0	0	0	-1.0	-1.0
chr8	75984257	75984507	1700007B14Rik	250	+	0	0	77	0	0	0	0	0	-1.0	-1.0
chr5	98801769	98802019	1700007G11Rik	250	+	0.0	0.421291274608	69	6	0	6	0	0	-1.0	-1.0
chr1	187127602	187127852	1700007P06Rik	250	+	0	0	63	0	0	0	0	0	-1.0	-1.0
chr10	77895861	77896111	1700009J07Rik	250	+	0	0	49	0	0	0	0	0	-1.0	-1.0
chr4	39451528	39451778	1700009N14Rik	250	+	0	0	73	0	0	0	0	0	-1.0	-1.0
chr2	173721836	173722086	1700010B08Rik	250	+	0	0	90	0	0	0	0	0	-1.0	-1.0
chr17	9008069	9008319	1700010I14Rik	250	+	0.0	0.421291274608	93	84	0	6	0	0	-1.0	-1.0
chr10	112785349	112785599	1700010J16Rik	250	+	0	0	87	0	0	0	0	0	-1.0	-1.0
chr16	66664376	66664626	1700010K23Rik	250	+	0	0	68	0	0	0	0	0	-1.0	-1.0
chr13	35187764	35188014	1700011B04Rik	250	+	0	0	61	0	0	0	0	0	-1.0	-1.0
chr7	72027067	72027317	1700011C11Rik	250	+	0	0	66	0	0	0	0	0	-1.0	-1.0
chr18	57730815	57731065	1700011I03Rik	250	+	0	0	46	0	0	0	0	0	-1.0	-1.0
chr6	32058665	32058915	1700012A03Rik	250	+	0	0	50	0	0	0	0	0	-1.0	-1.0
chr6	30463063	30463313	1700012C14Rik	250	+	0	0	76	0	0	0	0	0	-1.0	-1.0
chr10	127668601	127668851	1700012D01Rik	250	+	0.0	0.702152124347	79	44	0	10	9	0	-1.0	-1.0
chr15	67376844	67377094	1700012I11Rik	250	+	0	0	71	0	0	0	0	0	-1.0	-1.0
chr3	108544447	108544697	1700013F07Rik	250	+	0	0	67	0	0	0	0	0	-1.0	-1.0
chr4	137455211	137455461	1700013G24Rik	250	+	0	0	55	0	0	0	0	0	-1.0	-1.0
chr1	177753055	177753305	1700016C15Rik	250	+	0	0	76	0	0	0	0	0	-1.0	-1.0
chr11	76003319	76003569	1700016K19Rik	250	+	0	0	52	0	0	0	0	0	-1.0	-1.0
chr10	14758769	14759019	1700016L04Rik	250	+	0	0	73	0	0	0	0	0	-1.0	-1.0
chr1	80475410	80475660	1700016L21Rik	250	+	0	0	75	0	0	0	0	0	-1.0	-1.0
chr6	13415746	13415996	1700016P04Rik	250	+	0	0	72	0	0	0	0	0	-1.0	-1.0
chr2	168978656	168978906	1700017J07Rik	250	+	0	0	67	0	0	0	0	0	-1.0	-1.0
chr5	77468607	77468857	1700017L05Rik	250	+	0	0	49	0	0	0	0	0	-1.0	-1.0
chr10	100618141	100618391	1700017N19Rik	250	+	0	0	70	0	0	0	0	0	-1.0	-1.0
chr5	145045428	145045678	1700018F24Rik	250	+	0	0	82	0	0	0	0	0	-1.0	-1.0
chr8	3486928	3487178	1700019B03Rik	250	+	0	0	55	0	0	0	0	0	-1.0	-1.0
chr2	45698197	45698447	1700019E08Rik	250	+	0	0	93	0	0	0	0	0	-1.0	-1.0
chr2	130405824	130406074	1700020A23Rik	250	+	0	0	59	0	0	0	0	0	-1.0	-1.0
chrY	207539	207789	1700020D14Rik	250	+	0	0	68	0	0	0	0	0	-1.0	-1.0
chr2	119600494	119600744	1700020I14Rik	250	+	0.0201421800948	4.49377359582	82	844	17	64	15	0	-1.0	-1.0
chr11	83440982	83441232	1700020L24Rik	250	+	0	0	65	0	0	0	0	0	-1.0	-1.0
chr10	21622126	21622376	1700020N01Rik	250	+	0.025	1.05322818652	80	200	5	15	5	0	-1.0	-1.0
