#slamdunk v0.2.4	3	sample info:	chase_3h_R2_34520	37	chase	180
#annotation:	170614custom_mESCannotation_counting_Thomas.bed	5a451868b8f3be84e2040f5872bce883
Chromosome	Start	End	Name	Length	Strand	ConversionRate	ReadsCPM	Tcontent	CoverageOnTs	ConversionsOnTs	ReadCount	TcReadCount	multimapCount	ConversionRateLower	ConversionRateUpper
chr18	38262373	38262629	0610009O20Rik	256	+	0.0163652024117	17.3484844424	61	2322	38	233	31	0	-1.0	-1.0
chr2	175656519	175656769	0610010B08Rik	250	+	0.0355329949239	1.86142536935	72	197	7	25	7	25	-1.0	-1.0
chr2	175754078	175754328	0610010B08Rik	250	+	0.0	0.0744570147741	72	7	0	1	0	1	-1.0	-1.0
chr6	72352897	72353160	0610030E20Rik	263	+	0.0116009280742	5.65873312283	77	862	10	76	10	0	-1.0	-1.0
chr4	107896865	107897117	0610037L13Rik	252	+	0.0251288659794	13.5511766889	59	1552	39	182	29	0	-1.0	-1.0
chr4	107897552	107897803	0610037L13Rik	251	+	0.0176991150442	4.69079193077	69	678	12	63	12	0	-1.0	-1.0
chr8	77518328	77518578	0610038B21Rik	250	+	0	0	75	0	0	0	0	0	-1.0	-1.0
chr2	163645550	163645800	0610039K10Rik	250	+	0	0	73	0	0	0	0	0	-1.0	-1.0
chr5	63899369	63899619	0610040J01Rik	250	+	0.00751879699248	0.819027162515	82	133	1	11	1	0	-1.0	-1.0
chr4	101398935	101399185	0610043K17Rik	250	+	0	0	53	0	0	0	0	0	-1.0	-1.0
chr7	116104427	116104681	1110004F10Rik	254	+	0.0147219193021	12.0620363934	84	1834	27	162	21	120	-1.0	-1.0
chr7	116104957	116105210	1110004F10Rik	253	+	0.0193726937269	22.8583035356	95	4336	84	307	60	140	-1.0	-1.0
chr2	156873310	156873562	1110008F13Rik	252	+	0.0186494392979	107.069187245	81	16408	306	1438	290	0	-1.0	-1.0
chr12	55382238	55382495	1110008L16Rik	257	+	0.00307692307692	10.1261540093	65	1300	4	136	3	13	-1.0	-1.0
chrX	70389160	70389418	1110012L19Rik	258	+	0.00638686131387	21.8159053288	69	3288	21	293	24	0	-1.0	-1.0
chr3	4814661	4814911	1110015O18Rik	250	+	0	0	93	0	0	0	0	0	-1.0	-1.0
chr6	13896171	13896421	1110019D14Rik	250	+	0.0	0.595656118192	98	88	0	8	0	0	-1.0	-1.0
chr8	106594570	106594820	1110028F18Rik	250	+	0	0	64	0	0	0	0	0	-1.0	-1.0
chr3	68871913	68872163	1110032F04Rik	250	+	0.0	0.595656118192	82	104	0	8	0	0	-1.0	-1.0
chr2	132750804	132751055	1110034G24Rik	251	+	0.0	4.76524894554	80	698	0	64	0	0	-1.0	-1.0
chr9	64053850	64054100	1110036E04Rik	250	+	0	0	53	0	0	0	0	0	-1.0	-1.0
chr4	11527323	11527573	1110037F02Rik	250	+	0.00789473684211	4.69079193077	105	760	6	63	5	0	-1.0	-1.0
chr4	11549630	11549884	1110037F02Rik	254	+	0.043949044586	9.90278296495	74	1570	69	133	57	0	-1.0	-1.0
chr4	11550893	11551143	1110037F02Rik	250	+	0	0	73	0	0	0	0	0	-1.0	-1.0
chr15	76950480	76950979	1110038F14Rik	499	+	0.0111219090811	63.3629195727	148	9261	103	851	94	512	-1.0	-1.0
chr13	33959931	33960181	1110046J04Rik	250	+	0	0	67	0	0	0	0	0	-1.0	-1.0
chr16	21805875	21806125	1300002E11Rik	250	+	0.0403225806452	3.7228507387	79	620	25	50	25	0	-1.0	-1.0
chr16	21808789	21809039	1300002E11Rik	250	+	0.0168224299065	5.80764715238	60	535	9	78	9	15	-1.0	-1.0
chr10	83762041	83762294	1500009L16Rik	253	+	0.0250616269515	17.8696835458	71	2434	61	240	53	121	-1.0	-1.0
chr10	83762511	83762762	1500009L16Rik	251	+	0.0230680507497	13.4022626593	86	2601	60	180	53	0	-1.0	-1.0
chr7	75318235	75318485	1500012K07Rik	250	+	0	0	69	0	0	0	0	0	-1.0	-1.0
chr7	75331169	75331419	1500012K07Rik	250	+	0	0	76	0	0	0	0	0	-1.0	-1.0
chr18	61728003	61728253	1500015A07Rik	250	+	0.0	3.27610865006	79	466	0	44	0	0	-1.0	-1.0
chr19	20422535	20422785	1500015L24Rik	250	+	0	0	78	0	0	0	0	0	-1.0	-1.0
