"","d","tau","tau_all","mu1","mu2","points","d.min","d.max"
"chr18-38262373-38262629",0.0877002059063901,11.4024817805717,11.4024817805717,195.743452398813,56.5194705706219,"0-0.5-1-3-6-12-24",0.0663053308958122,0.109550026656915
"chr7-116104957-116105210",0.19001628711573,5.26270676676755,5.26270676676755,165.91801575504,90.689428616611,"0-0.5-1-3-6-12-24",0.157085765664542,0.225062473562046
"chr2-156873310-156873562",0.16309770306615,6.13129419483251,6.13129419483251,1066.44920106678,370.985992260014,"0-0.5-1-3-6-12-24",0.142010967867482,0.184526995051065
"chrX-70389160-70389418",0.113927299755908,8.77752744199611,8.77752744199611,201.55741804057,50.2327867537736,"0-0.5-1-3-6-12-24",0.0894262477945623,0.140053743337255
"chr15-76950480-76950979",0.217623285766222,4.59509650577665,4.59509650577665,524.35368312333,161.439989016489,"0-0.5-1-3-6-12-24",0.184027656499946,0.254687093133219
"chr10-83762511-83762762",0.104798532175215,9.54211837936891,9.54211837936891,103.387309891276,39.4536136724176,"0-0.5-1-3-6-12-24",0.0787522416317395,0.132438654821929
"chr10-80174864-80175119",0.187493665656632,5.3335135162985,5.3335135162985,119.740986548616,34.4378227408671,"0-0.5-1-3-6-12-24",0.144427161474424,0.235117941092324
"chr17-14944679-14944990",0.387956039315096,2.57761163291959,2.57761163291959,77.5874514646745,24.524332843756,"0-0.5-1-3-6-12-24",0.286367198607691,0.50704950245954
"chr15-81981313-81981563",0.167614406520395,5.96607428179703,5.96607428179703,239.489446040188,135.124605589484,"0-0.5-1-3-6-12-24",0.140504922733293,0.196593443984234
"chr17-56888588-56888905",0.118363528442957,8.4485484097572,8.4485484097572,365.18658968763,91.0872828578229,"0-0.5-1-3-6-12-24",0.095290432646567,0.142199672568265
"chr14-54690492-54690742",0.341342548549455,2.9296084073009,2.9296084073009,159.299971713279,78.3038043098933,"0-0.5-1-3-6-12-24",0.2794347829295,0.409416226610783
"chr19-8890509-8890759",0.196355559024192,5.09280208296417,5.09280208296417,666.506552117481,130.292344511944,"0-0.5-1-3-6-12-24",0.164377742769464,0.230566126706659
"chr16-8857950-8858200",0.229611407394441,4.35518431487221,4.35518431487221,300.432698135746,76.626165258094,"0-0.5-1-3-6-12-24",0.187715762438931,0.275999411090939
"chr3-122925493-122925748",0.137769695913984,7.25849028965226,7.25849028965226,551.685066492289,286.262463592214,"0-0.5-1-3-6-12-24",0.118108572961406,0.15741523729828
"chrX-153741045-153741296",0.128447306980083,7.78529362359506,7.78529362359506,311.993177019724,113.432869578574,"0-0.5-1-3-6-12-24",0.104019405474367,0.153402852199832
"chr7-27581371-27581621",0.188851181918257,5.29517469704184,5.29517469704184,96.5960850628789,27.8281205281383,"0-0.5-1-3-6-12-24",0.14179440983587,0.243399964463782
"chr7-27581846-27582098",0.245689741961244,4.07017400082477,4.07017400082477,146.118925450317,59.6393776608725,"0-0.5-1-3-6-12-24",0.198893347076597,0.297141584980584
"chr11-59210484-59210738",0.245459980905196,4.07398385802951,4.07398385802951,207.080120345711,87.3557137465967,"0-0.5-1-3-6-12-24",0.203137887953805,0.290899431118292
"chr1-105754872-105755131",0.492740827188044,2.02946446655692,2.02946446655692,71.8632721578001,31.9642521391079,"0-0.5-1-3-6-12-24",0.371595479442096,0.632675108378937
"chr8-85030030-85030286",0.149749972806168,6.6777975398658,6.6777975398658,1149.06773512379,454.046638555899,"0-0.5-1-3-6-12-24",0.131057295677512,0.168302824662913
"chr17-46773138-46773407",0.15223627901434,6.56873648301535,6.56873648301535,150.829507727551,46.2092682582516,"0-0.5-1-3-6-12-24",0.119259883189921,0.188203985213291
"chr7-44252068-44252319",0.293146776477547,3.41126043416204,3.41126043416204,1251.65989449663,374.04449642845,"0-0.5-1-3-6-12-24",0.255415191744526,0.332690824887278
"chr11-97622643-97622893",0.152903161067204,6.54008715725948,6.54008715725948,138.461557921772,34.6394491990385,"0-0.5-1-3-6-12-24",0.117402192012694,0.191541762092625
"chr3-145944025-145944276",0.210838106728464,4.74297562009456,4.74297562009456,219.493559851255,80.175168728213,"0-0.5-1-3-6-12-24",0.173299985892243,0.251587263350626
"chr11-62604556-62604806",0.174139695788767,5.74251606143271,5.74251606143271,823.630460127375,265.258729096045,"0-0.5-1-3-6-12-24",0.150060499486578,0.199236438372506
"chr5-118261267-118261517",0.259455702003309,3.85422248298573,3.85422248298573,70.6135592333309,33.2696994763377,"0-0.5-1-3-6-12-24",0.201295365448821,0.325028598252162
"chr4-147947064-147947315",0.197266943641068,5.0692730446492,5.0692730446492,857.379664228664,441.805240009595,"0-0.5-1-3-6-12-24",0.173819306965718,0.221725331024951
"chr7-41628282-41628532",0.14759556775452,6.77527120369357,6.77527120369357,89.6592989639879,39.0755923114873,"0-0.5-1-3-6-12-24",0.115014049471376,0.184024072178406
"chr11-78290367-78290625",0.159002896142877,6.289193620105,6.289193620105,1362.57716380747,436.957894444574,"0-0.5-1-3-6-12-24",0.138383926057517,0.179674651307589
"chr1-157419986-157420236",0.123197889536025,8.11702216463363,8.11702216463363,326.478687731513,97.4184560028724,"0-0.5-1-3-6-12-24",0.0999533127360624,0.147074587048552
"chr3-88712604-88712933",0.157223824771703,6.36035919780004,6.36035919780004,804.444860722699,253.124883417452,"0-0.5-1-3-6-12-24",0.136648342089996,0.178424840374703
"chr6-149335406-149335663",0.232644449631384,4.29840471837802,4.29840471837802,277.314089461901,130.021345997518,"0-0.5-1-3-6-12-24",0.195261814434866,0.273002731717608
"chr13-119485860-119486118",0.144858477355781,6.90328946053975,6.90328946053975,225.914164228994,67.9761401684714,"0-0.5-1-3-6-12-24",0.117327094660619,0.174702699355476
"chr12-113164295-113164545",0.274893684739536,3.63777000169178,3.63777000169178,39.8599376302353,18.4503193494084,"0-0.5-1-3-6-12-24",0.198466638395712,0.364119140777456
"chr9-58469373-58469623",0.203371203927273,4.91711697963695,4.91711697963695,109.069797985179,35.8349986433833,"0-0.5-1-3-6-12-24",0.156443764364675,0.257367130870682
"chr3-37052783-37053033",0.224897402197718,4.44647199224138,4.44647199224138,94.6726826735061,52.3865722161146,"0-0.5-1-3-6-12-24",0.180904256745475,0.272822107570722
"chr3-90062188-90062438",0.273016699880777,3.66277960445895,3.66277960445895,170.828645803869,47.567068280284,"0-0.5-1-3-6-12-24",0.215454812272404,0.33787451290783
"chr5-48388586-48388844",0.313720990701001,3.1875457162287,3.1875457162287,181.590400481396,78.3832296965709,"0-0.5-1-3-6-12-24",0.257688651085587,0.374668614388971
"chr4-156127011-156127264",0.294636128349968,3.39401690349461,3.39401690349461,266.693701100312,46.9979879724118,"0-0.5-1-3-6-12-24",0.233828130260385,0.361714895937817
"chr11-52408473-52408725",0.289845317271476,3.45011611508416,3.45011611508416,92.1469478212134,29.2365179613009,"0-0.5-1-3-6-12-24",0.220115884738739,0.369464649773897
"chr4-153961674-153961924",0.22491846032353,4.44605568863298,4.44605568863298,540.85468141641,171.164371677843,"0-0.5-1-3-6-12-24",0.191697194188554,0.260590377142322
"chrX-159592706-159593081",0.290947745207161,3.43704330579355,3.43704330579355,179.437870577114,90.2729811893566,"0-0.5-1-3-6-12-24",0.241123919895656,0.34480241154869
"chr11-83294387-83294637",0.197565892615841,5.0616024191203,5.0616024191203,307.979189678416,101.652943544945,"0-0.5-1-3-6-12-24",0.163974258655995,0.234134543634378
"chr5-125517153-125517412",0.233845587226942,4.27632615119447,4.27632615119447,101.294432977725,55.4407545892235,"0-0.5-1-3-6-12-24",0.188722531750612,0.282589342909007
"chr9-63641639-63641897",0.163789690991416,6.10539035727472,6.10539035727472,244.505047837923,83.1472231410256,"0-0.5-1-3-6-12-24",0.134350054902806,0.195918850684754
"chr6-87002971-87003227",0.234756677271085,4.2597297407019,4.2597297407019,146.097647997192,61.5850078417637,"0-0.5-1-3-6-12-24",0.189092500141349,0.284847945804608
"chr2-156567903-156568156",0.1541119469075,6.48878961084187,6.48878961084187,180.922396467388,42.7817104341427,"0-0.5-1-3-6-12-24",0.121434821922589,0.190131400757609
"chr15-52045470-52045722",0.26768685266942,3.73570831001906,3.73570831001906,59.1381674701694,37.5460819910099,"0-0.5-1-3-6-12-24",0.209146658228348,0.332037777433941
"chr8-111055315-111055569",0.164577805847168,6.0761534330372,6.0761534330372,666.525885502002,149.506378942447,"0-0.5-1-3-6-12-24",0.138087434787739,0.192386009755572
"chr16-14474601-14474878",0.25426733791242,3.93286848484031,3.93286848484031,55.4885988172453,32.4069762960132,"0-0.5-1-3-6-12-24",0.195196528694804,0.320260411674133
"chr6-58692198-58692451",0.179735187727651,5.56374081582332,5.56374081582332,80.2289574123844,49.1143514128787,"0-0.5-1-3-6-12-24",0.142837895136316,0.220308822045683
"chr5-135011919-135012175",0.193444875593081,5.16943132731796,5.16943132731796,263.208376945962,69.4546108808588,"0-0.5-1-3-6-12-24",0.155567810498371,0.234891182284031
"chr8-9988797-9989050",0.246783701388013,4.05213145915062,4.05213145915062,100.396253809007,33.9218002909193,"0-0.5-1-3-6-12-24",0.190353871582246,0.311346186779246
"chr17-35102735-35102987",0.157400694871515,6.35321210504373,6.35321210504373,50.86195307102,16.405656489009,"0-0.5-1-3-6-12-24",0.111307144028424,0.211381183093626
"chr19-21685384-21685640",0.241355739407457,4.14326173661775,4.14326173661775,124.818079462602,52.6307252617028,"0-0.5-1-3-6-12-24",0.191098717232876,0.297978965178007
"chr7-79365255-79365505",0.195755905964271,5.10840270731101,5.10840270731101,161.566087660501,53.1031890190253,"0-0.5-1-3-6-12-24",0.155794089919705,0.2397651451955
"chr14-54268914-54269169",0.175079007613304,5.7117070380516,5.7117070380516,251.745788274004,111.906681983061,"0-0.5-1-3-6-12-24",0.145490506273525,0.207005661838756
"chr14-8055778-8056028",0.197371155412769,5.06659647357622,5.06659647357622,82.4873571305536,19.928668565596,"0-0.5-1-3-6-12-24",0.142553061257816,0.260752426211553
"chr2-31803284-31803538",0.172398400730179,5.80051784566784,5.80051784566784,71.7630542431977,30.0686774261996,"0-0.5-1-3-6-12-24",0.130583839849129,0.219643997334312
