"","d","tau","tau_all","mu1","mu2","points","d.min","d.max"
"chr18-38262373-38262629",1e-04,10000,11.4024817805717,204.333551463044,65.1915320825374,"0-0.5",NA,0.457487827509635
"chr7-116104957-116105210",1e-04,10000,5.26270676676755,163.592398672465,79.1931318617189,"0-0.5",NA,0.488482973664901
"chr2-156873310-156873562",0.260146189184864,3.84399249949951,6.13129419483251,1116.49322823819,380.771054610426,"0-0.5",NA,1.03943912449687
"chrX-70389160-70389418",1e-04,10000,8.77752744199611,200.634681965025,64.3015172721164,"0-0.5",NA,0.366770071131231
"chr15-76950480-76950979",1e-04,10000,4.59509650577665,597.296935390343,198.249558473756,"0-0.5",NA,0.547017405774581
"chr10-83762511-83762762",1e-04,10000,9.54211837936891,115.702930746956,40.8000684613381,"0-0.5",NA,0.746619116953501
"chr10-80174864-80175119",1e-04,10000,5.3335135162985,120.389225309321,29.1502420220606,"0-0.5",NA,0.429363154602549
"chr17-14944679-14944990",0.43490061387116,2.29937592200376,2.57761163291959,76.9679330306303,20.1171181602756,"0-0.5",NA,1.56520844531039
"chr15-81981313-81981563",1e-04,10000,5.96607428179703,227.719257000688,110.477200698449,"0-0.5",NA,0.441696621064839
"chr17-56888588-56888905",1e-04,10000,8.4485484097572,331.12224851863,79.7373800578653,"0-0.5",NA,0.571206237693869
"chr14-54690492-54690742",1.00751251716668,0.992543499918184,2.9296084073009,127.384175280289,89.6004248263374,"0-0.5",0.200875475824662,1.82070258075178
"chr19-8890509-8890759",0.0871884129329041,11.4694139549203,5.09280208296417,722.1872484744,124.061489033111,"0-0.5",NA,0.942354583780913
"chr16-8857950-8858200",1e-04,10000,4.35518431487221,249.166260868211,90.0129550832343,"0-0.5",NA,0.87485258957348
"chr3-122925493-122925748",0.286326979216393,3.49251056514742,7.25849028965226,586.682911352067,308.184758704109,"0-0.5",NA,1.0423118929977
"chrX-153741045-153741296",1e-04,10000,7.78529362359506,319.400530504685,97.2386944658683,"0-0.5",NA,0.51756997895464
"chr7-27581371-27581621",0.187082228581162,5.34524314566932,5.29517469704184,100.988783691094,32.0898317913962,"0-0.5",NA,1.18314432075231
"chr7-27581846-27582098",1e-04,10000,4.07017400082477,163.958528397985,66.0399993865879,"0-0.5",NA,0.364718774347293
"chr11-59210484-59210738",0.138917905680258,7.19849608373496,4.07398385802951,201.237766720957,76.907496439214,"0-0.5",NA,0.984748954289607
"chr1-105754872-105755131",1e-04,10000,2.02946446655692,71.5028650278748,25.7508872291459,"0-0.5",NA,0.535626754155012
"chr8-85030030-85030286",1e-04,10000,6.6777975398658,1113.16175940888,422.058123657741,"0-0.5",NA,0.718234401833371
"chr17-46773138-46773407",1e-04,10000,6.56873648301535,168.778368011789,46.3814051077082,"0-0.5",NA,0.80752332218218
