#slamdunk v0.2.4	3	sample info:	pulse_24h_R3_34509	26	chase	0
#annotation:	170614custom_mESCannotation_counting_Thomas.bed	5a451868b8f3be84e2040f5872bce883
Chromosome	Start	End	Name	Length	Strand	ConversionRate	ReadsCPM	Tcontent	CoverageOnTs	ConversionsOnTs	ReadCount	TcReadCount	multimapCount	ConversionRateLower	ConversionRateUpper
chr18	38262373	38262629	0610009O20Rik	256	+	0.0394234845273	15.916609429	61	2359	93	235	73	0	-1.0	-1.0
chr2	175656519	175656769	0610010B08Rik	250	+	0.0	1.15141429912	72	141	0	17	0	17	-1.0	-1.0
chr2	175754078	175754328	0610010B08Rik	250	+	0.0	0.270921011557	72	28	0	4	0	4	-1.0	-1.0
chr6	72352897	72353160	0610030E20Rik	263	+	0.0186074429772	11.9205245085	77	1666	31	176	24	0	-1.0	-1.0
chr4	107896865	107897117	0610037L13Rik	252	+	0.0098374679213	17.8807867627	59	2338	23	264	23	1	-1.0	-1.0
chr4	107897552	107897803	0610037L13Rik	251	+	0.0261780104712	3.45424289735	69	573	15	51	15	0	-1.0	-1.0
chr8	77518328	77518578	0610038B21Rik	250	+	0.0	0.338651264446	75	70	0	5	0	0	-1.0	-1.0
chr2	163645550	163645800	0610039K10Rik	250	+	0	0	73	0	0	0	0	0	-1.0	-1.0
chr5	63899369	63899619	0610040J01Rik	250	+	0	0	82	0	0	0	0	0	-1.0	-1.0
chr4	101398935	101399185	0610043K17Rik	250	+	0.0	0.0677302528892	53	8	0	1	0	0	-1.0	-1.0
chr7	116104427	116104681	1110004F10Rik	254	+	0.0231930960086	10.972300968	84	1854	43	162	40	95	-1.0	-1.0
chr7	116104957	116105210	1110004F10Rik	253	+	0.0198602427363	26.8211801441	95	5438	108	396	99	212	-1.0	-1.0
chr2	156873310	156873562	1110008F13Rik	252	+	0.0211593564029	131.058039341	81	22685	480	1935	453	4	-1.0	-1.0
chr12	55382238	55382495	1110008L16Rik	257	+	0.0321061643836	15.9843396818	65	2336	75	236	67	20	-1.0	-1.0
chrX	70389160	70389418	1110012L19Rik	258	+	0.0180377152227	22.2155229477	69	3659	66	328	56	1	-1.0	-1.0
chr3	4814661	4814911	1110015O18Rik	250	+	0	0	93	0	0	0	0	0	-1.0	-1.0
chr6	13896171	13896421	1110019D14Rik	250	+	0.142857142857	0.0677302528892	98	14	2	1	1	0	-1.0	-1.0
chr8	106594570	106594820	1110028F18Rik	250	+	0.0277777777778	0.81276303467	64	144	4	12	4	0	-1.0	-1.0
chr3	68871913	68872163	1110032F04Rik	250	+	0.0361445783133	0.677302528892	82	166	6	10	3	0	-1.0	-1.0
chr2	132750804	132751055	1110034G24Rik	251	+	0.0224948875256	3.25105213868	80	489	11	48	11	0	-1.0	-1.0
chr9	64053850	64054100	1110036E04Rik	250	+	0	0	53	0	0	0	0	0	-1.0	-1.0
chr4	11527323	11527573	1110037F02Rik	250	+	0.0254777070064	3.79289416179	105	628	16	56	23	0	-1.0	-1.0
chr4	11549630	11549884	1110037F02Rik	254	+	0.0177914110429	11.0400312209	74	1630	29	163	21	0	-1.0	-1.0
chr4	11550893	11551143	1110037F02Rik	250	+	0	0	73	0	0	0	0	0	-1.0	-1.0
chr15	76950480	76950979	1110038F14Rik	499	+	0.0232939035487	66.4433780843	148	10990	256	981	228	418	-1.0	-1.0
chr13	33959931	33960181	1110046J04Rik	250	+	0.0	0.203190758668	67	24	0	3	0	0	-1.0	-1.0
chr16	21805875	21806125	1300002E11Rik	250	+	0.0292249047014	4.13154542624	79	787	23	61	22	0	-1.0	-1.0
chr16	21808789	21809039	1300002E11Rik	250	+	0.0698924731183	4.33473618491	60	558	39	64	34	5	-1.0	-1.0
chr10	83762041	83762294	1500009L16Rik	253	+	0.019088430074	16.6616422107	71	2567	49	246	48	112	-1.0	-1.0
chr10	83762511	83762762	1500009L16Rik	251	+	0.0203592814371	12.7332875432	86	2505	51	188	45	0	-1.0	-1.0
chr7	75318235	75318485	1500012K07Rik	250	+	0	0	69	0	0	0	0	0	-1.0	-1.0
chr7	75331169	75331419	1500012K07Rik	250	+	0	0	76	0	0	0	0	0	-1.0	-1.0
chr18	61728003	61728253	1500015A07Rik	250	+	0.0348525469169	1.96417733379	79	373	13	29	10	0	-1.0	-1.0
chr19	20422535	20422785	1500015L24Rik	250	+	0	0	78	0	0	0	0	0	-1.0	-1.0
chr1	43742314	43742564	1500015O10Rik	250	+	0	0	67	0	0	0	0	0	-1.0	-1.0
chr10	89700616	89700866	1500026H17Rik	250	+	0	0	91	0	0	0	0	0	-1.0	-1.0
chr10	80174864	80175119	1600002K03Rik	255	+	0.0186020293123	10.7691102094	57	1774	33	159	33	0	-1.0	-1.0
chr17	14944679	14944990	1600012H06Rik	311	+	0.0227272727273	7.85670933515	99	1232	28	116	28	0	-1.0	-1.0
chr17	14945688	14945939	1600012H06Rik	251	+	0.0307194826192	5.89253200136	89	1237	38	87	38	0	-1.0	-1.0
chr7	38196342	38196595	1600014C10Rik	253	+	0.00865800865801	3.99608492046	83	693	6	59	5	1	-1.0	-1.0
chr7	38197315	38197565	1600014C10Rik	250	+	0.0	0.338651264446	73	50	0	5	0	0	-1.0	-1.0
chr6	48933437	48933687	1600015I10Rik	250	+	0	0	53	0	0	0	0	0	-1.0	-1.0
chr6	86564199	86564449	1600020E01Rik	250	+	0.0186046511628	3.52197315024	79	430	8	52	8	1	-1.0	-1.0
chrX	56320414	56320664	1600025M17Rik	250	+	0.0	0.0677302528892	61	10	0	1	0	0	-1.0	-1.0
chr9	58208558	58208808	1600029O15Rik	250	+	0.0372093023256	1.8964470809	56	215	8	28	8	27	-1.0	-1.0
chr5	30483837	30484087	1700001C02Rik	250	+	0	0	53	0	0	0	0	0	-1.0	-1.0
chr18	17137309	17137559	1700001G01Rik	250	+	0	0	57	0	0	0	0	0	-1.0	-1.0
chr13	68613981	68614231	1700001L19Rik	250	+	0	0	92	0	0	0	0	0	-1.0	-1.0
chr6	83162725	83162975	1700003E16Rik	250	+	0.0	0.541842023113	43	36	0	8	0	0	-1.0	-1.0
chr2	154549798	154550048	1700003F12Rik	250	+	0.0	0.203190758668	37	6	0	3	0	0	-1.0	-1.0
chr1	56019953	56020203	1700003I22Rik	250	+	0	0	75	0	0	0	0	0	-1.0	-1.0
chr16	12848403	12848653	1700003L19Rik	250	+	0	0	65	0	0	0	0	0	-1.0	-1.0
chr13	118588379	118588629	1700003P14Rik	250	+	0	0	67	0	0	0	0	0	-1.0	-1.0
chr11	101992014	101992264	1700006E09Rik	250	+	0	0	63	0	0	0	0	0	-1.0	-1.0
chr14	119751314	119751564	1700006F04Rik	250	+	0	0	73	0	0	0	0	0	-1.0	-1.0
chr13	107691918	107692168	1700006H21Rik	250	+	0	0	59	0	0	0	0	0	-1.0	-1.0
chr8	75984257	75984507	1700007B14Rik	250	+	0	0	77	0	0	0	0	0	-1.0	-1.0
chr5	98801769	98802019	1700007G11Rik	250	+	0	0	69	0	0	0	0	0	-1.0	-1.0
chr1	187127602	187127852	1700007P06Rik	250	+	0	0	63	0	0	0	0	0	-1.0	-1.0
chr10	77895861	77896111	1700009J07Rik	250	+	0	0	49	0	0	0	0	0	-1.0	-1.0
chr4	39451528	39451778	1700009N14Rik	250	+	0	0	73	0	0	0	0	0	-1.0	-1.0
chr2	173721836	173722086	1700010B08Rik	250	+	0	0	90	0	0	0	0	0	-1.0	-1.0
chr17	9008069	9008319	1700010I14Rik	250	+	0.0148698884758	1.15141429912	93	269	4	17	4	0	-1.0	-1.0
chr10	112785349	112785599	1700010J16Rik	250	+	0	0	87	0	0	0	0	0	-1.0	-1.0
chr16	66664376	66664626	1700010K23Rik	250	+	0	0	68	0	0	0	0	0	-1.0	-1.0
chr13	35187764	35188014	1700011B04Rik	250	+	0	0	61	0	0	0	0	0	-1.0	-1.0
chr7	72027067	72027317	1700011C11Rik	250	+	0	0	66	0	0	0	0	0	-1.0	-1.0
chr18	57730815	57731065	1700011I03Rik	250	+	0	0	46	0	0	0	0	0	-1.0	-1.0
chr6	32058665	32058915	1700012A03Rik	250	+	0.0	0.135460505778	50	8	0	2	0	2	-1.0	-1.0
chr6	30463063	30463313	1700012C14Rik	250	+	0	0	76	0	0	0	0	0	-1.0	-1.0
chr10	127668601	127668851	1700012D01Rik	250	+	0.173913043478	0.270921011557	79	23	4	4	3	0	-1.0	-1.0
